epoch,year,month,day,hour,minute,open,high,low,close,volume
1759246800,2025,9,30,15,40,665.4,665.41,664.85,665.015,1850144
1759246500,2025,9,30,15,35,665.5,665.59,665.26,665.41,1203065
1759246200,2025,9,30,15,30,665.38,665.715,665.34,665.5,814332
1759245900,2025,9,30,15,25,665.2,665.51,665.15,665.37,1231419
1759245600,2025,9,30,15,20,664.785,665.27,664.785,665.2,1056503
1759245300,2025,9,30,15,15,664.64,664.79,664.4707,664.785,752296
1759245000,2025,9,30,15,10,664.72,664.8578,664.62,664.64,894510
1759244700,2025,9,30,15,5,664.46,664.83,664.36,664.72,1824112
1759244400,2025,9,30,15,0,664.42,664.78,664.405,664.4675,752537
1759244100,2025,9,30,14,55,664.43,664.62,664.335,664.422,601511
1759243800,2025,9,30,14,50,664.55,664.63,664.32,664.44,536094
1759243500,2025,9,30,14,45,664.27,664.5799,664.16,664.55,643489
1759243200,2025,9,30,14,40,663.97,664.33,663.935,664.28,780424
1759242900,2025,9,30,14,35,663.72,664.02,663.695,663.97,438752
1759242600,2025,9,30,14,30,663.87,663.975,663.6,663.74,369847
1759242300,2025,9,30,14,25,663.81,664.03,663.7601,663.88,467571
1759242000,2025,9,30,14,20,663.68,663.915,663.5024,663.815,766591
1759241700,2025,9,30,14,15,663.7,664.015,663.46,663.68,1089109
1759241400,2025,9,30,14,10,663.179,663.79,663.179,663.69,1045436
1759241100,2025,9,30,14,5,662.57,663.2209,662.56,663.1751,916240
1759240800,2025,9,30,14,0,662.51,662.6751,662.425,662.575,386727
1759240500,2025,9,30,13,55,663.0273,663.07,662.39,662.53,382658
1759240200,2025,9,30,13,50,662.71,663.085,662.71,663.02,677048
1759239900,2025,9,30,13,45,662.21,662.71,662.2,662.71,345604
1759239600,2025,9,30,13,40,662.1,662.39,662.08,662.22,394442
1759239300,2025,9,30,13,35,662.165,662.33,661.86,662.1,433002
1759239000,2025,9,30,13,30,662.12,662.2,661.812,662.17,686192
1759238700,2025,9,30,13,25,662.03,662.1983,661.78,662.13,746087
1759238400,2025,9,30,13,20,662.45,662.46,661.98,662.0339,512001
1759238100,2025,9,30,13,15,662.3999,662.6,662.2794,662.4599,466601
1759237800,2025,9,30,13,10,662.64,662.685,662.09,662.41,579299
1759237500,2025,9,30,13,5,662.6201,662.78,662.49,662.63,336715
1759237200,2025,9,30,13,0,662.81,662.91,662.5715,662.63,414932
1759236900,2025,9,30,12,55,663.08,663.1449,662.615,662.819,434577
1759236600,2025,9,30,12,50,663.22,663.365,662.9801,663.07,318489
1759236300,2025,9,30,12,45,663.64,663.665,663.07,663.205,379015
1759236000,2025,9,30,12,40,663.4651,663.665,663.26,663.665,261911
1759235700,2025,9,30,12,35,663.4,663.56,663.27,663.46,427370
1759235400,2025,9,30,12,30,663.41,663.645,663.36,663.39,274328
1759235100,2025,9,30,12,25,663.44,663.58,663.2,663.405,455811
1759234800,2025,9,30,12,20,663.27,664.0527,663.26,663.43,919522
1759234500,2025,9,30,12,15,662.795,663.28,662.725,663.275,283628
1759234200,2025,9,30,12,10,662.81,662.855,662.6,662.8,900499
1759233900,2025,9,30,12,5,662.86,663.1,662.59,662.8244,782792
1759233600,2025,9,30,12,0,662.99,663.16,662.82,662.85,346331
1759233300,2025,9,30,11,55,662.88,663.16,662.5,663.0,440643
1759233000,2025,9,30,11,50,662.695,662.99,662.56,662.89,614541
1759232700,2025,9,30,11,45,662.07,662.715,662.01,662.698,372210
1759232400,2025,9,30,11,40,662.02,662.2,661.89,662.06,510712
1759232100,2025,9,30,11,35,662.59,662.595,661.98,662.0,623700
1759231800,2025,9,30,11,30,662.23,662.68,662.15,662.575,710251
1759231500,2025,9,30,11,25,662.38,662.44,661.61,662.225,938137
1759231200,2025,9,30,11,20,662.48,662.62,662.12,662.37,888347
1759230900,2025,9,30,11,15,662.85,662.95,662.38,662.5,407061
1759230600,2025,9,30,11,10,663.42,663.4601,662.8312,662.855,401437
1759230300,2025,9,30,11,5,663.51,663.62,663.14,663.405,606790
1759230000,2025,9,30,11,0,663.22,663.63,663.13,663.5,566494
1759229700,2025,9,30,10,55,662.84,663.38,662.8244,663.22,608101
1759229400,2025,9,30,10,50,663.14,663.21,662.74,662.85,536810
1759229100,2025,9,30,10,45,662.36,663.29,662.36,663.1507,805427
1759228800,2025,9,30,10,40,661.77,662.45,661.691,662.37,723636
1759228500,2025,9,30,10,35,662.64,662.795,661.72,661.79,869155
1759228200,2025,9,30,10,30,662.85,663.28,662.51,662.61,719375
1759227900,2025,9,30,10,25,662.85,663.0,662.638,662.8571,551767
1759227600,2025,9,30,10,20,662.96,663.3525,662.73,662.86,477864
1759227300,2025,9,30,10,15,662.68,663.37,662.65,662.95,1569688
1759227000,2025,9,30,10,10,662.43,662.775,662.235,662.688,854010
1759226700,2025,9,30,10,5,663.245,663.275,662.4,662.46,1041788
1759226400,2025,9,30,10,0,663.05,663.5512,663.01,663.23,1053241
1759226100,2025,9,30,9,55,662.16,663.13,661.9693,663.08,787337
1759225800,2025,9,30,9,50,662.7,662.77,662.09,662.165,1043253
1759225500,2025,9,30,9,45,663.08,663.28,662.47,662.71,1161020
1759225200,2025,9,30,9,40,662.44,663.0844,662.4,663.07,1032558
1759224900,2025,9,30,9,35,662.47,662.72,662.22,662.435,1112519
1759224600,2025,9,30,9,30,662.93,663.21,662.39,662.45,1642289
1759161300,2025,9,29,15,55,663.16,663.67,663.02,663.61,3899276
1759161000,2025,9,29,15,50,663.56,663.76,663.155,663.17,2611531
1759160700,2025,9,29,15,45,663.26,663.655,663.26,663.56,1887263
1759160400,2025,9,29,15,40,663.145,663.43,663.09,663.26,1231469
1759160100,2025,9,29,15,35,662.95,663.19,662.91,663.145,1429785
1759159800,2025,9,29,15,30,662.64,662.96,662.61,662.9407,740496
1759159500,2025,9,29,15,25,662.55,662.84,662.52,662.645,787477
1759159200,2025,9,29,15,20,662.3,662.65,662.27,662.555,820725
1759158900,2025,9,29,15,15,662.515,662.515,661.86,662.3099,2593334
1759158600,2025,9,29,15,10,662.68,662.91,662.41,662.51,936771
1759158300,2025,9,29,15,5,663.16,663.18,662.53,662.68,1097812
1759158000,2025,9,29,15,0,663.345,663.345,662.97,663.15,681330
1759157700,2025,9,29,14,55,663.25,663.395,663.2,663.35,606433
1759157400,2025,9,29,14,50,663.37,663.375,663.2,663.26,411061
1759157100,2025,9,29,14,45,663.25,663.475,663.25,663.37,564763
1759156800,2025,9,29,14,40,663.23,663.3,663.06,663.25,750573
1759156500,2025,9,29,14,35,663.44,663.475,663.2,663.2205,787870
1759156200,2025,9,29,14,30,663.47,663.58,663.42,663.435,501262
1759155900,2025,9,29,14,25,663.46,663.595,663.38,663.46,601028
1759155600,2025,9,29,14,20,663.29,663.46,663.23,663.455,405507
1759155300,2025,9,29,14,15,663.25,663.3612,663.1502,663.3,321694
1759155000,2025,9,29,14,10,662.97,663.32,662.91,663.26,595388
1759154700,2025,9,29,14,5,663.125,663.24,662.95,662.97,414126
1759154400,2025,9,29,14,0,662.94,663.21,662.9,663.13,890934
1759154100,2025,9,29,13,55,663.04,663.05,662.84,662.94,756873
1759153800,2025,9,29,13,50,662.61,663.09,662.6,663.04,674601
1759153500,2025,9,29,13,45,662.55,662.77,662.5201,662.6,389445
1759153200,2025,9,29,13,40,662.51,662.7,662.5,662.57,486844
1759152900,2025,9,29,13,35,662.44,662.54,662.33,662.51,369488
1759152600,2025,9,29,13,30,662.57,662.62,662.19,662.4499,745174
1759152300,2025,9,29,13,25,662.57,662.74,662.4899,662.56,587650
1759152000,2025,9,29,13,20,662.7,662.7,662.45,662.57,552189
1759151700,2025,9,29,13,15,662.55,662.82,662.4,662.7,492721
1759151400,2025,9,29,13,10,662.7,662.83,662.49,662.5544,395470
1759151100,2025,9,29,13,5,662.57,662.805,662.5478,662.69,434010
1759150800,2025,9,29,13,0,663.05,663.0856,662.42,662.565,1281410
1759150500,2025,9,29,12,55,662.9,663.1197,662.85,663.04,541366
1759150200,2025,9,29,12,50,663.15,663.19,662.86,662.89,307399
1759149900,2025,9,29,12,45,663.09,663.27,663.0,663.17,478382
1759149600,2025,9,29,12,40,663.4,663.61,663.07,663.09,500950
1759149300,2025,9,29,12,35,663.6,663.605,663.31,663.38,230309
1759149000,2025,9,29,12,30,663.48,663.7,663.47,663.6,228772
1759148700,2025,9,29,12,25,663.65,663.7,663.42,663.47,539117
1759148400,2025,9,29,12,20,663.48,663.695,663.305,663.655,719047
1759148100,2025,9,29,12,15,663.725,663.8,663.045,663.475,632928
1759147800,2025,9,29,12,10,663.29,663.785,663.2701,663.72,1376947
1759147500,2025,9,29,12,5,663.03,663.285,662.94,663.28,404673
1759147200,2025,9,29,12,0,663.31,663.4856,662.935,663.0299,652906
1759146900,2025,9,29,11,55,663.19,663.36,662.9,663.31,946608
1759146600,2025,9,29,11,50,663.22,663.25,662.84,663.165,986711
1759146300,2025,9,29,11,45,663.535,663.57,663.1801,663.2188,327607
1759146000,2025,9,29,11,40,663.41,663.56,663.19,663.53,414030
1759145700,2025,9,29,11,35,663.4,663.49,662.995,663.41,994548
1759145400,2025,9,29,11,30,663.54,663.655,663.275,663.4,762948
1759145100,2025,9,29,11,25,663.63,663.83,663.48,663.53,530428
1759144800,2025,9,29,11,20,663.61,664.01,663.43,663.6211,946834
1759144500,2025,9,29,11,15,663.78,663.78,663.21,663.62,1346948
1759144200,2025,9,29,11,10,664.26,664.2999,663.72,663.78,774304
1759143900,2025,9,29,11,5,664.55,664.59,664.23,664.26,439619
1759143600,2025,9,29,11,0,664.45,664.6573,664.37,664.54,480471
1759143300,2025,9,29,10,55,664.65,664.7,664.29,664.46,735765
1759143000,2025,9,29,10,50,664.91,664.97,664.57,664.6465,775989
1759142700,2025,9,29,10,45,665.0,665.17,664.84,664.91,630027
1759142400,2025,9,29,10,40,664.78,665.07,664.73,665.0,475180
1759142100,2025,9,29,10,35,664.87,664.93,664.54,664.785,611693
1759141800,2025,9,29,10,30,664.76,664.887,664.585,664.86,637720
1759141500,2025,9,29,10,25,664.84,664.98,664.71,664.76,651361
1759141200,2025,9,29,10,20,664.18,664.89,663.99,664.84,971994
1759140900,2025,9,29,10,15,664.69,664.79,664.17,664.1712,729101
1759140600,2025,9,29,10,10,665.09,665.11,664.435,664.67,853661
1759140300,2025,9,29,10,5,664.185,665.28,664.05,665.09,1032836
1759140000,2025,9,29,10,0,664.53,664.83,664.07,664.18,1349264
1759139700,2025,9,29,9,55,664.65,664.73,664.27,664.525,902764
1759139400,2025,9,29,9,50,664.64,664.69,664.09,664.63,1512680
1759139100,2025,9,29,9,45,664.405,664.745,664.35,664.64,1221373
1759138800,2025,9,29,9,40,663.935,664.47,663.725,664.4106,1393829
1759138500,2025,9,29,9,35,664.29,664.45,663.91,663.95,1328485
1759138200,2025,9,29,9,30,664.36,664.76,664.14,664.29,1856594
